url;summary;target
https://www.bbc.co.uk/news/world-europe-61980555;"It calls for the handover of 33 ""terror"" suspects after a deal to let Finland and Sweden join Nato.";1
https://www.bbc.co.uk/news/uk-northern-ireland-61982295;An academic tells MPs he was aghast at the government's strategy for overriding part of the Brexit deal.;0
https://www.bbc.co.uk/news/world-europe-61981735;The biggest trial in modern French history readies verdicts for 20 accused over the 2015 atrocity.;0
https://www.bbc.co.uk/news/world-us-canada-61981785;A prime beachfront space in Manhattan Beach is given back to its black owners after its 1924 seizure.;1
https://www.bbc.co.uk/news/uk-scotland-scotland-politics-61980405;Scotland's first minister wants a referendum in October next year, but says an election could be used to decide independence.;1
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-61980437;The 61-year-old says scans show no evidence of disease after six rounds of chemotherapy.;2
https://www.bbc.co.uk/news/uk-61980343;"The Duke and Duchess of Cambridge say the legacy of the ""inspirational"" cancer campaigner will live on.";1
https://www.bbc.co.uk/sport/football/61975959;Schalke 04, Rennes and Lorient are linked with Celtic's Christopher Jullien as Rangers increase their offer for PAOK's Antonio Colak.;1
https://www.bbc.co.uk/news/uk-england-norfolk-61970007;The Queen Elizabeth Hospital, in King's Lynn, Norfolk, has steel and wooden posts in 56 areas.;1
https://www.bbc.co.uk/news/business-61965785;A group says a government campaign asking businesses to cut prices is unrealistic for small firms.;0
https://www.bbc.co.uk/news/uk-northern-ireland-61972611;Nearly 800 children are now being educated at home in Northern Ireland, compared to 287 in 2017.;2
https://www.bbc.co.uk/news/uk-northern-ireland-61971679;MPs will later attempt to make changes to the government's contentious Troubles legacy bill.;1
https://www.bbc.co.uk/news/uk-61976526;"Boris Johnson says the Russian president's war in Ukraine is a ""perfect example of toxic masculinity"".";0
https://www.bbc.co.uk/news/world-asia-61976456;The regulator's decision to strip Rappler of its licence comes in the dying days of Rodrigo Duterte's presidency.;1
https://www.bbc.co.uk/news/science-environment-61976369;New research complicates our current understanding of where humans came from.;0
https://www.bbc.co.uk/news/health-61499581;How Dame Deborah's fundraising will help scientists find new ways to outwit cancer.;2
https://www.bbc.co.uk/news/uk-61954906;Privately run homes in England made disproportionately high numbers of emergency calls, the BBC finds.;0
https://www.bbc.co.uk/news/business-61967116;The discount chain says it is seeing a rise in customer numbers as people seek savings.;1
https://www.bbc.co.uk/news/blogs-the-papers-61976179;The jailing of Ghislaine Maxwell and plans for a new Scottish independence vote lead the papers.;0
https://www.bbc.co.uk/news/science-environment-61926275;"The Climate Change Committee also cites a ""shocking"" lack of policy to insulate people's homes.";0
https://www.bbc.co.uk/news/world-middle-east-61963517;The last homes are being removed as part of what officials say is a plan to beautify the waterfront.;1
https://www.bbc.co.uk/news/world-asia-china-61947779;The return of Hong Kong to China in 1997 is still a polarising topic for residents now living in the UK.;1
https://www.bbc.co.uk/news/world-middle-east-61976009;Hisham al-Sayed was last seen in 2015 when he is believed to have wandered into the Gaza Strip.;1
https://www.bbc.co.uk/sport/golf/61975762;"The DP World and PGA Tours are strengthening their alliance to try to fight off an ""existential threat"" posed by Saudi-funded LIV Golf series.";1
https://www.bbc.co.uk/sport/61961652;Chelsea close to agreeing deal with Leeds Utd for Raphinha, Man Utd hope De Jong signing convinces Eriksen to join, Everton reject Bergwijn as part of Richarlison offer from Tottenham, plus more.;1
https://www.bbc.co.uk/news/uk-wales-61965909;"""A tide of avoidable blindness"" could sweep Wales if care is not reformed, a consultant claims.";0
https://www.bbc.co.uk/programmes/w172yfc0z24stkt;Ghislaine Maxwell has been sentenced to twenty years in prison for helping the financier and convicted sex offender Jeffrey Epstein abuse teenage girls. Also on the programme, An aide to President Trump's chief of staff has said that Mr Trump knew some of his…;0
https://www.bbc.co.uk/news/world-europe-61971858;Ankara had previously opposed to the Scandinavian countries' bids to join the alliance.;1
